Epoch,Precision,Recall,F1,LR
1,0.5,0.5483870967741935,0.5230769230769231,0.0001
2,0.4418604651162791,0.6129032258064516,0.5135135135135135,0.0001
3,0.40425531914893614,0.6129032258064516,0.48717948717948717,0.0001
4,0.4523809523809524,0.6129032258064516,0.5205479452054794,0.0001
5,0.36538461538461536,0.6129032258064516,0.4578313253012048,0.0001
